leg_id,sequence,start_date,end_date,start_location_id,start_location,start_latitude,start_longitude,end_location_id,end_location,end_latitude,end_longitude,source_status,date_confidence,route_confidence,include_default_map,source_id,source_locator,source_url,notes,duration_days,great_circle_nm,implied_avg_speed_kn,source_duration_days,source_great_circle_nm,source_implied_avg_speed_kn
L011,11,1944-01-31,1944-02-06,LOC008,Tarawa,1.35,172.93,LOC006,Pearl Harbor,21.344,-157.975,official + chart,medium-high,high,TRUE,S1,DANFS / War Cruise p.7,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,6,2081.1389383929786,14.452353738840129,6,2082.9,14.5
L012,12,1944-02-13,1944-02-18,LOC006,Pearl Harbor,21.344,-157.975,LOC003,San Francisco Bay,37.8199,-122.4783,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,5,2084.7538955599694,17.372949129666413,5,2083.1,17.4
L013,13,1944-02-21,1944-02-26,LOC003,San Francisco Bay,37.8199,-122.4783,LOC006,Pearl Harbor,21.344,-157.975,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,5,2084.7538955599694,17.372949129666413,5,2083.1,17.4
L014,14,1944-03-05,1944-03-10,LOC006,Pearl Harbor,21.344,-157.975,LOC012,Majuro,7.1167,171.3667,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,5,1972.3423403364393,16.43618616947033,5,1972,16.4
L015,15,1944-03-10,1944-03-12,LOC012,Majuro,7.1167,171.3667,LOC013,Kwajalein,8.7167,167.7333,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,2,236.4811872389364,4.926691400811175,2,236.5,4.9
L016,16,1944-03-16,1944-03-17,LOC013,Kwajalein,8.7167,167.7333,LOC012,Majuro,7.1167,171.3667,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,1,236.4811872389364,9.85338280162235,1,236.5,9.9
L017,17,1944-03-26,1944-03-27,LOC012,Majuro,7.1167,171.3667,LOC013,Kwajalein,8.7167,167.7333,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,1,236.4811872389364,9.85338280162235,1,236.5,9.9
L018,18,1944-04-05,1944-04-06,LOC013,Kwajalein,8.7167,167.7333,LOC012,Majuro,7.1167,171.3667,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,1,236.4811872389364,9.85338280162235,1,236.5,9.9
L019,19,1944-04-12,1944-04-14,LOC012,Majuro,7.1167,171.3667,LOC014,Enewetak,11.35,162.35,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,2,591.5937768241665,12.324870350503469,2,591.6,12.3
L020,20,1944-04-22,1944-04-29,LOC014,Enewetak,11.35,162.35,LOC006,Pearl Harbor,21.344,-157.975,"official departure, arrival estimated",medium,medium-high,TRUE,S1,DANFS Apr 1944,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,"Blakeslee chart gives 17–20 Apr, an implausibly fast leg that conflicts with DANFS.",7,2358.360051570531,14.03785744982459,7,2356,14
L021,21,1944-05-24,1944-05-30,LOC006,Pearl Harbor,21.344,-157.975,LOC012,Majuro,7.1167,171.3667,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,6,1972.3423403364393,13.69682180789194,6,1972,13.7
L022,22,1944-06-06,1944-06-07,LOC012,Majuro,7.1167,171.3667,LOC011,Makin,3.167,172.833,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,1,251.63955208705926,10.484981336960802,1,252.8,10.5
L023,23,1944-06-17,1944-06-18,LOC011,Makin,3.167,172.833,LOC014,Enewetak,11.35,162.35,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,1,792.9783240349594,33.040763501456645,1,794,33.1
L024,24,1944-07-07,1944-07-12,LOC014,Enewetak,11.35,162.35,LOC006,Pearl Harbor,21.344,-157.975,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,5,2358.360051570531,19.653000429754425,5,2356,19.6
L025,25,1944-07-20,1944-07-27,LOC006,Pearl Harbor,21.344,-157.975,LOC014,Enewetak,11.35,162.35,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,7,2358.360051570531,14.03785744982459,7,2356,14
L026,26,1944-07-30,1944-08-01,LOC014,Enewetak,11.35,162.35,LOC015,Saipan,15.2,145.75,probable correction,low-medium,medium,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,"Chart transcription says Iwo Jima, which is operationally implausible in Aug 1944; Saipan/Marianas is used as the probable destination.",2,997.7725486515483,20.786928096907257,2,996.8,20.8
L027,27,1944-08-04,1944-08-07,LOC015,Saipan,15.2,145.75,LOC014,Enewetak,11.35,162.35,probable correction,low-medium,medium,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,Reverse leg inferred from the same likely mis-transcribed chart entry.,3,997.7725486515483,13.857952064604838,3,996.8,13.8
L028,28,1944-08-11,1944-08-17,LOC014,Enewetak,11.35,162.35,LOC016,Guam,13.45,144.65,"chart, conflicted",low,low,FALSE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,Conflicts with official narrative that Terror departed Oahu on 17 Aug; retained for research but excluded from default route.,6,1046.5346254896642,7.267601565900446,6,1045.3,7.3
L029,29,1944-08-17,1944-08-24,LOC006,Pearl Harbor,21.344,-157.975,LOC003,San Francisco Bay,37.8199,-122.4783,official,high,high,TRUE,S1,DANFS Aug 1944,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,7,2084.7538955599694,12.40924937833315,7,2083.1,12.4
L030,30,1944-09-09,1944-09-14,LOC003,San Francisco Bay,37.8199,-122.4783,LOC006,Pearl Harbor,21.344,-157.975,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,5,2084.7538955599694,17.372949129666413,5,2083.1,17.4
L031,31,1944-09-21,1944-09-30,LOC006,Pearl Harbor,21.344,-157.975,LOC015,Saipan,15.2,145.75,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,9,3218.101793064013,14.898619412333392,9,3213.7,14.9
L032,32,1944-10-03,1944-10-08,LOC015,Saipan,15.2,145.75,LOC017,Ulithi,9.55,138.12,chart + official,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,5,560.7478141832771,4.672898451527309,5,561.3,4.7
L033,33,1944-10-17,1944-10-19,LOC017,Ulithi,9.55,138.12,LOC015,Saipan,15.2,145.75,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,2,560.7478141832771,11.682246128818273,2,561.3,11.7
L034,34,1944-10-22,1944-10-23,LOC015,Saipan,15.2,145.75,LOC017,Ulithi,9.55,138.12,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,1,560.7478141832771,23.364492257636545,1,561.3,23.4
L035,35,1944-11-01,1944-11-02,LOC017,Ulithi,9.55,138.12,LOC015,Saipan,15.2,145.75,chart,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,1,560.7478141832771,23.364492257636545,1,561.3,23.4
L036,36,1944-11-04,1944-11-11,LOC015,Saipan,15.2,145.75,LOC018,Manus,-2.05,147.33,corrected broad route,medium,medium,TRUE,S1,DANFS Oct–Nov 1944,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,Chart transcription includes an improbable Iwo Jima intermediate; official Marianas–Admiralties sequence is used.,7,1034.4064547184946,6.157181278086277,7,1039.9,6.2
L037,37,1944-11-16,1944-11-24,LOC018,Manus,-2.05,147.33,LOC006,Pearl Harbor,21.344,-157.975,chart + official,medium-high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,8,3503.348527023113,18.246606911578713,8,3502.6,18.2
L038,38,1945-01-22,1945-01-30,LOC006,Pearl Harbor,21.344,-157.975,LOC014,Enewetak,11.35,162.35,official + deck log,high,high,TRUE,S1,DANFS / War Cruise deck log,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,8,2358.360051570531,12.283125268596516,8,2356,12.3
L039,39,1945-01-30,1945-02-03,LOC014,Enewetak,11.35,162.35,LOC017,Ulithi,9.55,138.12,chart corrected to Enewetak,high,high,TRUE,S1,DANFS / War Cruise p.7,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,Printed reduction appears to read Okinawa; official narrative and deck log establish Enewetak.,4,1436.0186534328832,14.958527639925867,4,1434.3,14.9
L040,40,1945-02-08,1945-02-10,LOC017,Ulithi,9.55,138.12,LOC019,Tinian,14.97,145.62,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,2,546.589892455584,11.387289426158,2,547.1,11.4
L041,41,1945-02-13,1945-02-17,LOC019,Tinian,14.97,145.62,LOC020,Iwo Jima,24.78,141.34,official,high,high,TRUE,S1,DANFS 13–17 Feb 1945,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,4,634.2263281903978,6.60652425198331,4,636.5,6.6
L042,42,1945-02-19,1945-02-21,LOC020,Iwo Jima,24.78,141.34,LOC015,Saipan,15.2,145.75,official,high,high,TRUE,S1,DANFS 19–21 Feb 1945,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,2,624.3677187930159,13.00766080818783,2,626.5,13.1
L043,43,1945-02-21,1945-02-23,LOC015,Saipan,15.2,145.75,LOC017,Ulithi,9.55,138.12,official,high,high,TRUE,S1,DANFS 21–23 Feb 1945,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,2,560.7478141832771,11.682246128818273,2,561.3,11.7
L044,44,1945-03-19,1945-03-24,LOC017,Ulithi,9.55,138.12,LOC021,Kerama Retto,26.1667,127.3,official,high,high,TRUE,S1,DANFS 19–24 Mar 1945,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,5,1168.78263778599,9.739855314883249,5,1172.2,9.8
L045,45,1945-05-08,1945-05-12,LOC021,Kerama Retto,26.1667,127.3,LOC015,Saipan,15.2,145.75,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,4,1225.2643967586423,12.76317079956919,4,1225.4,12.8
L046,46,1945-05-15,1945-05-18,LOC015,Saipan,15.2,145.75,LOC014,Enewetak,11.35,162.35,"documented route, estimated dates",medium,medium-high,TRUE,S1,DANFS May 1945,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,3,997.7725486515483,13.857952064604838,3,996.8,13.8
L047,47,1945-05-18,1945-05-23,LOC014,Enewetak,11.35,162.35,LOC006,Pearl Harbor,21.344,-157.975,"documented route, estimated dates",medium,medium-high,TRUE,S1,DANFS / NavSource,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,5,2358.360051570531,19.653000429754425,5,2356,19.6
L048,48,1945-05-26,1945-06-01,LOC006,Pearl Harbor,21.344,-157.975,LOC003,San Francisco Bay,37.8199,-122.4783,official + photo dating,medium-high,high,TRUE,S4,NavSource 23/26 May; DANFS 1 Jun,https://www.navsource.net/archives/11/0605.htm,,6,2084.7538955599694,14.477457608055342,6,2083.1,14.5
L049,49,1945-06-14,1945-08-14,LOC003,San Francisco Bay,37.8199,-122.4783,LOC004,Mare Island Navy Yard,38.1,-122.273,shipyard movement/period,high,high,TRUE,S4,NavSource refit captions,https://www.navsource.net/archives/11/0605.htm,Not a sea transit leg; identifies repair location.,61,19.40907578517386,0.013257565427031326,61,19.4,0
L050,50,1945-08-15,1945-08-21,LOC003,San Francisco Bay,37.8199,-122.4783,LOC006,Pearl Harbor,21.344,-157.975,"route stated, dates partly estimated",medium,medium-high,TRUE,S1,DANFS Aug–Sep 1945,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,6,2084.7538955599694,14.477457608055342,6,2083.1,14.5
L051,51,1945-08-22,1945-09-01,LOC006,Pearl Harbor,21.344,-157.975,LOC015,Saipan,15.2,145.75,"route stated, dates estimated",low-medium,medium,TRUE,S1,DANFS Aug–Sep 1945,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,,10,3218.101793064013,13.408757471100053,10,3213.7,13.4
L052,52,1945-09-02,1945-09-08,LOC015,Saipan,15.2,145.75,LOC022,Buckner Bay,26.22,127.88,"route stated, dates estimated",low-medium,medium,TRUE,S3,Album p.6,https://terror.ringleib.com/wp-content/uploads/2021/03/USSTerror-AnAlbum-Ryan.pdf,,6,1199.5108801921722,8.329936668001196,6,1199.8,8.3
L053,53,1945-10-20,1945-10-22,LOC022,Buckner Bay,26.22,127.88,LOC023,Sasebo,33.16,129.72,detailed chronology,high,high,TRUE,S5,War Cruise late-1945 chronology p.31,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,2,426.3387263720626,8.88205679941797,2,427.6,8.9
L054,54,1945-11-20,1945-12-07,LOC023,Sasebo,33.16,129.72,LOC006,Pearl Harbor,21.344,-157.975,detailed chronology,high,high,TRUE,S5,War Cruise late-1945 chronology p.31,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,17,3857.6467206957545,9.455016472293517,17,3851.4,9.4
L055,55,1946-02-21,1946-02-27,LOC006,Pearl Harbor,21.344,-157.975,LOC005,Treasure Island,37.823,-122.37,"departure confirmed, arrival estimated",medium,medium-high,TRUE,S3,Album p.6,https://terror.ringleib.com/wp-content/uploads/2021/03/USSTerror-AnAlbum-Ryan.pdf,,6,2089.7080409919563,14.511861395777474,6,2088,14.5
L056,56,1946-03-06,1946-03-12,LOC005,Treasure Island,37.823,-122.37,LOC006,Pearl Harbor,21.344,-157.975,detailed chronology,medium-high,high,TRUE,S5,War Cruise chronology p.41,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,6,2089.7080409919563,14.511861395777474,6,2088,14.5
L057,57,1946-03-25,1946-04-01,LOC006,Pearl Harbor,21.344,-157.975,LOC005,Treasure Island,37.823,-122.37,detailed chronology,medium-high,high,TRUE,S5,War Cruise chronology p.41,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,7,2089.7080409919563,12.438738339237835,7,2088,12.4
