sequence,date_start,date_end,date_precision,location_id,location_name,latitude,longitude,position_type,coordinate_basis,position_uncertainty_nm,movement_state,event_category,event_action,historical_confidence,include_default_map,source_id,source_locator,source_url,notes
12,1944-01-29,1944-01-31,estimated range,LOC008,Tarawa,1.35,172.93,interval_at_location,Atoll operational centroid,15,brief stop,Personnel/logistics,Brief Tarawa stop to embark Mine Detail 19 before returning to Pearl Harbor.,medium,True,S1,"DANFS, late Jan 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,Arrival date estimated from Makin departure on 28 Jan and departure for Pearl Harbor on 31 Jan.
13,1944-02-06,1944-02-13,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port,Transport preparation,Returned to Pearl Harbor and embarked passengers for San Francisco.,high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
14,1944-02-18,1944-02-21,range,LOC003,San Francisco Bay,37.8199,-122.4783,interval_at_location,Golden Gate transit point,10,in port,Passenger transport,Three-day San Francisco stay after transporting more than 500 passengers.,high,True,S1,"DANFS, Feb 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
15,1944-02-26,1944-03-05,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port,Logistics,Discharged passengers and prepared for Marshall Islands operations.,high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
16,1944-03-10,1944-04-22,range,LOC012,Majuro,7.1167,171.3667,interval_at_location,Atoll/anchorage centroid,12,operating/base,Marshall Islands operations,Majuro served as a recurring base for minelaying and logistics circuits to Kwajalein and Enewetak.,high,True,S1,"DANFS, Mar–Apr 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,This interval is represented by separate route legs and repeated point events.
17,1944-03-12,1944-03-16,range,LOC013,Kwajalein,8.7167,167.7333,interval_at_location,Atoll/anchorage centroid,15,anchored/operating,Mine warfare/logistics,First documented March circuit at Kwajalein.,medium-high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
18,1944-03-27,1944-04-05,range,LOC013,Kwajalein,8.7167,167.7333,interval_at_location,Atoll/anchorage centroid,15,anchored/operating,Mine warfare/logistics,Second documented Majuro–Kwajalein circuit.,medium-high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
19,1944-04-14,1944-04-22,estimated range,LOC014,Enewetak,11.35,162.35,interval_at_location,Atoll/anchorage centroid,15,anchored/operating,Mine warfare/logistics,Enewetak operations before return toward Hawaii.,medium,True,S1,"DANFS, Mar–Apr 1944; War Cruise p.7",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,"War Cruise gives 17–20 Apr for Enewetak–Pearl, but that duration is implausibly short and conflicts with DANFS departure on 22 Apr."
20,1944-04-29,1944-05-24,estimated range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port,Repair/training/logistics,"Pearl Harbor repairs, mine loading, and gunnery exercises.",medium-high,True,S1,"DANFS, Apr–May 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,Arrival date estimated from normal transit after official 22 Apr departure from the Marshalls.
21,1944-05-30,1944-06-06,range,LOC012,Majuro,7.1167,171.3667,interval_at_location,Atoll/anchorage centroid,12,anchored/operating,Logistics,"Returned to Majuro as part of ammunition, mine, and bomb supply circuits.",medium-high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
22,1944-06-07,1944-06-17,range,LOC011,Makin,3.167,172.833,interval_at_location,Lagoon centroid,12,anchored/operating,Logistics,Makin logistics stop during the summer supply circuit.,medium-high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
23,1944-06-18,1944-07-07,range,LOC014,Enewetak,11.35,162.35,interval_at_location,Atoll/anchorage centroid,15,anchored/operating,Logistics/casualty transport,Enewetak logistics; later carried American casualties and Japanese prisoners toward Pearl Harbor.,medium-high,True,S2,War Cruise p.7; Album p.4,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
24,1944-07-12,1944-07-20,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port,Logistics,Pearl Harbor turnaround before another Enewetak/Marianas circuit.,medium-high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
25,1944-07-27,1944-08-11,range,LOC014,Enewetak,11.35,162.35,interval_at_location,Atoll/anchorage centroid,15,operating,Logistics,Enewetak-based segment supporting the Marshalls and Marianas.,medium,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,War Cruise contains a likely erroneous pre-invasion 'Iwo Jima' entry for 1–4 Aug. The default map does not route Terror to Iwo Jima in 1944.
26,1944-08-11,1944-08-17,range,LOC016,Guam,13.45,144.65,interval_at_location,Harbor centroid,8,operating/port,Marianas logistics,Guam-area cargo operations during the Marianas campaign.,medium,True,S2,War Cruise p.7; Album p.4,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,Exact inbound/outbound sequence is conflicted in the cruise-chart transcription.
27,1944-08-17,1944-08-24,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,depart/transit,Transit,Departed Oahu for the west coast; arrived San Francisco on 24 August.,high,True,S1,"DANFS, 17–24 Aug 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
28,1944-08-24,1944-09-09,range,LOC003,San Francisco Bay,37.8199,-122.4783,interval_at_location,Golden Gate transit point,10,in port,Dry dock/overhaul,San Francisco drydocking and overhaul.,high,True,S1,"DANFS, 24 Aug–9 Sep 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
29,1944-09-14,1944-09-21,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port,Logistics,Loaded mines and minesweeping gear before western Pacific deployment.,high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
30,1944-09-30,1944-10-03,range,LOC015,Saipan,15.2,145.75,interval_at_location,Island/anchorage centroid,12,in port/operating,Marianas logistics,Saipan stop before Ulithi defensive mining operations.,medium-high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
31,1944-10-08,1944-10-17,range,LOC017,Ulithi,9.55,138.12,interval_at_location,Atoll/anchorage centroid,15,anchored/operating,Defensive mining,Began defensive mining operations at Ulithi.,high,True,S1,"DANFS, Sep–Oct 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
32,1944-10-19,1944-11-02,range,LOC015,Saipan,15.2,145.75,interval_at_location,Island/anchorage centroid,12,recurring stop,Logistics,Repeated Saipan–Ulithi cargo and support circuits.,medium-high,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
33,1944-11-11,1944-11-16,estimated range,LOC018,Manus,-2.05,147.33,interval_at_location,Harbor centroid,10,in port/operating,Admiralties logistics,Cargo operations in the Admiralty Islands/Manus area.,medium,True,S1,"DANFS, Oct–Nov 1944; War Cruise p.7",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,The chart transcription contains an improbable pre-invasion Iwo Jima leg; Manus is retained as the confirmed destination.
34,1944-11-24,1945-01-22,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port/shipyard,Alteration/flagship preparation,"Pearl Harbor repairs and alterations to accommodate Commander, Mine Force, Pacific Fleet staff; assumed flagship duty 6 January 1945.",high,True,S1,"DANFS, 25 Nov 1944–22 Jan 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
35,1945-01-30,1945-01-30,day,LOC014,Enewetak,11.35,162.35,point,Atoll/anchorage centroid,15,brief stop,Transit/logistics,"Arrived Enewetak, fueled, and continued toward Ulithi.",high,True,S2,War Cruise deck-log extract p.55,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
36,1945-02-03,1945-02-08,range,LOC017,Ulithi,9.55,138.12,interval_at_location,Atoll/anchorage centroid,15,anchored/operating,Iwo Jima staging,Supplied mines and gear to mine craft preparing for Iwo Jima.,high,True,S1,"DANFS, late Jan–Feb 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
37,1945-02-10,1945-02-13,range,LOC019,Tinian,14.97,145.62,interval_at_location,Island/anchorage centroid,10,anchored/operating,Iwo Jima staging,"Served as tender for mine craft at Tinian, the second staging area.",high,True,S1,"DANFS, Feb 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
38,1945-02-17,1945-02-19,range,LOC020,Iwo Jima,24.78,141.34,interval_at_location,Estimated offshore fire-support point,8,offshore combat,Iwo Jima operation,Directed and supported minesweeping; fired 5-inch guns at shore positions; received casualties and damaged small craft.,high,True,S1,"DANFS, 17–19 Feb 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
39,1945-02-21,1945-02-21,day,LOC015,Saipan,15.2,145.75,point,Island/anchorage centroid,12,brief stop,Casualty evacuation,Transferred battle casualties to an Army hospital at Saipan.,high,True,S1,"DANFS, 21 Feb 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
40,1945-02-23,1945-03-19,range,LOC017,Ulithi,9.55,138.12,interval_at_location,Atoll/anchorage centroid,15,anchored/operating,Okinawa staging,Serviced and supplied mine craft staging for the assault on Okinawa.,high,True,S1,"DANFS, 23 Feb–19 Mar 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
41,1945-03-24,1945-03-29,range,LOC021,Kerama Retto,26.1667,127.3,interval_at_location,Anchorage/attack-area modeling point,5,offshore/anchoring,Okinawa operation,Arrived off Kerama Retto on 24 March; anchored in the harbor on 29 March as flagship and tender.,high,True,S1,"DANFS, 24–29 Mar 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
42,1945-04-02,1945-04-02,day,LOC021,Kerama Retto,26.1667,127.3,point,Anchorage/attack-area modeling point,5,anchored/combat,Air attack,Took two Japanese aircraft under fire during a harbor penetration; one aircraft splashed nearby.,high,True,S1,"DANFS, 2 Apr 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
43,1945-04-06,1945-04-06,day,LOC021,Kerama Retto,26.1667,127.3,point,Anchorage/attack-area modeling point,5,anchored/combat,Mass air attack/rescue,Fought a four-hour mass air attack; helped down two aircraft and aided survivors of LST-447 and SS Logan Victory.,high,True,S1,"DANFS, 6 Apr 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
44,1945-04-28,1945-04-28,day,LOC021,Kerama Retto,26.1667,127.3,point,Anchorage/attack-area modeling point,5,anchored/combat,Rescue/medical,"Fired on aircraft attacking nearby Pinckney, sent boats, and treated casualties.",high,True,S1,"DANFS, 28 Apr 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
45,1945-05-01,1945-05-01,day,LOC021,Kerama Retto,26.1667,127.3,point,Kerama Retto anchorage / published attack-area approximation,3,anchored/combat,Kamikaze strike,"Kamikaze and bombs struck the ship shortly before 0400; 41 dead, 7 missing, and 123 wounded.",high,True,S1,"DANFS, 1 May 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
46,1945-05-02,1945-05-08,range,LOC021,Kerama Retto,26.1667,127.3,interval_at_location,Anchorage/attack-area modeling point,5,moored/repair,Emergency repair,Moored to Natrona for emergency repairs; flag staff transferred before withdrawal.,high,True,S1,"DANFS, 2–8 May 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
47,1945-05-12,1945-05-15,range,LOC015,Saipan,15.2,145.75,interval_at_location,Island/anchorage centroid,12,repair-route stop,Damage assessment,Reached Saipan after withdrawal from Kerama Retto; forward-area repair judged inadequate.,medium-high,True,S2,War Cruise p.7; DANFS narrative,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
48,1945-05-18,1945-05-19,estimated range,LOC014,Enewetak,11.35,162.35,interval_at_location,Atoll/anchorage centroid,15,brief transit stop,Withdrawal route,Estimated Enewetak stop on the documented Saipan–Enewetak–Pearl Harbor withdrawal route.,medium,True,S1,"DANFS, May 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,Intermediate dates are estimated; DANFS confirms the route but not the dates.
49,1945-05-23,1945-05-26,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,repair-route stop,Transit/repair,Arrived Pearl Harbor with visible kamikaze damage; departed for San Francisco after brief support.,medium-high,True,S4,"NavSource photo caption, 23/26 May 1945",https://www.navsource.net/archives/11/0605.htm,Capt. Blakeslee chart gives a later Pearl Harbor interval; NavSource photographic dating is used for mapping.
50,1945-06-01,1945-06-14,range,LOC003,San Francisco Bay,37.8199,-122.4783,interval_at_location,Golden Gate transit point,10,arrive/in port,Return for overhaul,"Reached San Francisco, unloaded ammunition, and prepared for shipyard overhaul.",high,True,S1,"DANFS, 1 Jun 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
51,1945-06-14,1945-08-14,range,LOC004,Mare Island Navy Yard,38.1,-122.273,interval_at_location,Shipyard centroid,3,shipyard,Battle-damage repair/refit,Mare Island overhaul repaired kamikaze damage and strengthened antiaircraft armament.,high,True,S4,"NavSource captions, 14 Jun–14 Aug 1945",https://www.navsource.net/archives/11/0605.htm,
52,1945-08-15,1945-08-15,day,LOC003,San Francisco Bay,37.8199,-122.4783,point,Golden Gate transit point,10,depart,Return to western Pacific,"Departed San Francisco Bay on the day Japan announced surrender, bound west via Hawaii and Saipan.",high,True,S1,"DANFS, 15 Aug 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
53,1945-09-08,1945-09-09,range,LOC022,Buckner Bay,26.22,127.88,interval_at_location,Bay centroid,10,arrive/flagship,Occupation mine warfare,Reached Buckner Bay; Rear Admiral Arthur D. Struble established his headquarters aboard on 9 September.,medium-high,True,S3,Album p.6,https://terror.ringleib.com/wp-content/uploads/2021/03/USSTerror-AnAlbum-Ryan.pdf,DANFS states the ship was moored in Buckner Bay on 16 Sep; the Album gives arrival on 8 Sep.
54,1945-09-16,1945-09-16,day,LOC022,Buckner Bay,26.22,127.88,point,Bay centroid,10,anchored/weather,Typhoon/collision,"Rode out a severe typhoon; Patoka collided with Terror, causing moderate hull damage.",high,True,S1,"DANFS, 16 Sep 1945",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
55,1945-10-09,1945-10-10,range,LOC022,Buckner Bay,26.22,127.88,interval_at_location,Bay centroid,10,anchored/weather,Typhoon/rescue,"Survived a second severe typhoon and cared for hundreds of survivors from damaged, beached, or sunk mine-force vessels.",high,True,S3,Album p.6 and late-1945 chronology p.31,https://terror.ringleib.com/wp-content/uploads/2021/03/USSTerror-AnAlbum-Ryan.pdf,
56,1945-10-22,1945-11-20,range,LOC023,Sasebo,33.16,129.72,interval_at_location,Harbor centroid,5,anchored/operating,Occupation mine warfare,"Served at Sasebo as Mine Force flagship/tender, supplying water, fuel, gear, and medical support to minesweepers.",high,True,S5,War Cruise late-1945 chronology p.31,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
57,1945-11-17,1945-11-20,range,LOC023,Sasebo,33.16,129.72,interval_at_location,Harbor centroid,5,flag transfer/departure,Command transition,Panamint came alongside for transfer of staff and equipment; Terror departed Sasebo for Pearl Harbor on 20 November.,high,True,S5,War Cruise late-1945 chronology p.31,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
58,1945-12-07,1946-02-21,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,dry dock/repair,Typhoon-damage repair,Entered Pearl Harbor Navy Yard drydock and underwent repairs through February 1946.,high,True,S5,War Cruise late-1945 chronology p.31; Album p.6,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
59,1946-02-27,1946-03-06,estimated range,LOC005,Treasure Island,37.823,-122.37,interval_at_location,Base centroid,3,in port,Postwar transport/base,Arrived in San Francisco Bay/Treasure Island after departing Pearl Harbor on 21 February.,medium,True,S3,Album p.6,https://terror.ringleib.com/wp-content/uploads/2021/03/USSTerror-AnAlbum-Ryan.pdf,Exact February arrival date is not stated; 27 Feb is a modeling estimate.
60,1946-03-12,1946-03-25,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port/flagship,Command transition,"Returned to Pearl Harbor; Commander Mine Force, Pacific Fleet flag shifted aboard before return to San Francisco.",medium-high,True,S5,War Cruise chronology p.41,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,Compiled volume contains minor date discrepancies; detailed chronology gives 6–12 Mar outbound and 25 Mar departure.
61,1946-04-01,1946-12-25,range,LOC005,Treasure Island,37.823,-122.37,interval_at_location,Base centroid,3,base/flagship,Postwar service,Operated from Treasure Island as Mine Force Pacific flagship until the force was dissolved on 25 December 1946.,medium-high,True,S5,War Cruise chronology p.41; Album p.6,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
